id,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms,beds,amenities_count,price,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,host_is_superhost,instant_bookable,high_price_listing
835546583475959014,ΠΑΓΚΡΑΤΙ,Private room,Private room in rental unit,3,1.0,3.5,2.0,60,39.0,348,4.61,23,0.79,0.0,1,0
835588634086346657,ΠΑΓΚΡΑΤΙ,Private room,Private room in rental unit,3,1.0,3.5,2.0,57,39.0,348,4.6,15,0.55,0.0,0,0
835888624811651755,ΠΑΓΚΡΑΤΙ,Private room,Private room in rental unit,2,1.0,3.5,1.0,57,39.0,348,4.44,16,0.55,0.0,1,0
862723173615761354,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,37,39.0,344,4.9,121,4.02,1.0,0,0
863587356393700154,ΠΕΤΡΑΛΩΝΑ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,36,39.0,327,4.72,187,6.31,1.0,1,0
866434544389482087,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,24,39.0,353,4.87,119,4.02,,0,0
873605448849963024,ΝΕΑ ΚΥΨΕΛΗ,Entire home/apt,Entire condo,2,1.0,1.0,1.0,37,39.0,233,4.8,25,0.9,0.0,0,0
876815278812635962,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,Entire condo,2,1.0,1.0,1.0,42,39.0,266,4.73,52,1.96,1.0,0,0
901262110191090354,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,30,39.0,346,4.63,52,1.86,0.0,1,0
915581153274240039,ΠΑΓΚΡΑΤΙ,Entire home/apt,Entire guesthouse,1,1.0,1.0,1.0,10,39.0,337,4.5,2,0.07,0.0,0,0
924937459013796182,ΣΤΑΔΙΟ,Private room,Private room in rental unit,2,1.0,1.0,1.0,6,39.0,358,3.5,6,0.22,0.0,1,0
941327531669030658,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,36,39.0,324,4.89,36,1.46,1.0,1,0
949788067110786044,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,24,39.0,341,4.2,5,0.31,0.0,0,0
